SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
Cosmos 1818;3.9;17:26:54;10;W;17:32:21;74;S;17:37:49;10;E;17369;1 17369U 87011A   26027.65707130  .00000008  00000-0  40457-4 0  9991;2 17369  65.0109 281.1381 0013546 281.5417  78.4147 14.31852948 88675
CZ-2C R/B;3.8;17:28:26;10;NNE;17:33:07;35;NW;17:37:52;10;WSW;31114;1 31114U 07010B   26027.30106917  .00000221  00000-0  12011-3 0  9995;2 31114  98.3971 142.6595 0059887  55.2819 305.3980 14.20231279973848
CBERS-1;4.0;17:28:35;10;SSE;17:33:41;83;ENE;17:38:49;10;NNW;25940;1 25940U 99057A   26027.52323979  .00000404  00000-0  15231-3 0  9990;2 25940  98.8503  33.1108 0005832  59.5257 300.6503 14.36935355377314
Cosmos 1371 Rocket;4.1;17:28:41;10;SSW;17:33:53;67;SE;17:39:02;10;NE;13242;1 13242U 82051B   26027.59269966  .00000429  00000-0  15194-3 0  9995;2 13242  74.0452 336.9328 0023451 126.7293 233.6019 14.37329070285066
Cosmos 1980 Rocket;2.5;17:29:18;10;NW;17:34:56;77;SW;17:40:33;10;SE;19650;1 19650U 88102B   26027.58340801 -.00000175  00000-0 -64377-4 0  9992;2 19650  70.9971 237.9857 0011966  70.1100 290.1312 14.16147760921073
STARLINK-5981;3.7;17:29:46;10;SSE;17:33:47;81;ENE;17:37:52;10;NNW;56325;1 56325U 23058J   26027.53589483  .00000039  00000-0  76204-5 0  9997;2 56325  97.6040  29.8846 0003379  41.2443 318.9036 15.01262247151957
STARLINK-5062;3.9;17:29:57;10;W;17:34:09;58;N;17:38:21;10;ENE;55637;1 55637U 23021K   26027.46546388  .00000500  00000-0  49674-4 0  9994;2 55637  69.9992 288.5087 0002990 266.4629  93.6188 14.98328703162611
Cosmos 1624 Rocket;4.2;17:30:16;10;SSW;17:35:33;69;SE;17:40:53;10;NE;15483;1 15483U 85006B   26027.62731054  .00000522  00000-0  18186-3 0  9991;2 15483  74.0475 336.7031 0019746 261.8289 271.0589 14.37759741148122
STARLINK-5535;3.6;17:30:40;10;SSE;17:34:38;79;ENE;17:38:37;10;NNW;56356;1 56356U 23058AR  26027.53727223  .00000292  00000-0  24422-4 0  9992;2 56356  97.6050  30.6404 0001618 102.0123 258.1285 15.05649839152005
Cosmos 1503 Rocket;4.0;17:31:21;10;NW;17:36:37;78;NE;17:41:55;10;SE;14402;1 14402U 83103B   26027.58800726  .00000382  00000-0  13619-3 0  9995;2 14402  74.0425 238.1979 0025951  22.7005 337.5289 14.37341172213738
Aureole 1 Rocket;4.1;17:31:25;10;NW;17:38:25;61;NNE;17:44:16;10;ESE;5730;1 05730U 71119B   26027.58800026  .00007714  00000-0  40166-3 0  9999;2 05730  73.8863 252.4816 0555206 227.5162 127.7805 14.36704873649583
STARLINK-5467;3.8;17:31:44;10;WNW;17:35:58;62;NNE;17:40:11;10;E;55660;1 55660U 23021AJ  26027.66549427 -.00000002  00000-0  75967-5 0  9992;2 55660  69.9958 267.7336 0002997 268.8895  91.1921 14.98330650163144
STARLINK-32257;3.8;17:31:58;10;WNW;17:36:11;62;NNE;17:40:24;10;E;62171;1 62171U 24225J   26027.66565899  .00006356  00000-0  53994-3 0  9996;2 62171  70.0012 267.7475 0002856 268.9414  91.1418 14.98335504 63737
STARLINK-5324;3.8;17:33:20;10;WNW;17:37:36;85;SSW;17:41:50;10;SE;55677;1 55677U 23021BB  26027.59851534  .00001109  00000-0  10071-3 0  9998;2 55677  69.9967 248.0171 0002708 262.2605  97.8246 14.98334706163620
STARLINK-36263;2.5;17:33:39;10;WNW;17:37:03;50;N;17:40:27;10;ENE;67202;1 67202U 25304L   26027.67152568  .00060887  00000-0  13808-2 0  9999;2 67202  70.0006 280.5506 0002626 262.5275  97.5608 15.42757434  7670
CZ-2D R/B;3.3;17:33:42;10;SE;17:36:34;35;ENE;17:39:27;10;N;28738;1 28738U 05024B   26027.48307968  .00045385  00000-0  63825-3 0  9993;2 28738  97.3629  41.2338 0006125 148.1068 212.0559 15.56532901133366
STARLINK-34987;4.4;17:33:44;10;ENE;17:35:51;14;NNE;17:37:59;10;N;65255;1 65255U 25179W   26027.53611386  .00010732  00000-0  74673-3 0  9990;2 65255  97.6056  72.3602 0000964  66.7711 293.3618 15.05656180 25618
STARLINK-5546;3.8;17:34:20;10;WSW;17:38:35;79;NNW;17:42:51;10;ENE;55632;1 55632U 23021E   26027.13605900  .00000181  00000-0  22966-4 0  9999;2 55632  70.0009 309.2368 0002889 270.1444  89.9384 14.98337389162071
STARLINK-5500;3.8;17:34:35;10;WSW;17:38:50;79;NNW;17:43:07;10;ENE;55634;1 55634U 23021G   26027.13622947  .00000188  00000-0  23563-4 0  9992;2 55634  70.0024 309.2356 0002568 266.8992  93.1873 14.98327885162060
STARLINK-5891;3.6;17:34:37;10;SSE;17:38:36;83;ENE;17:42:35;10;NNW;56351;1 56351U 23058AL  26027.47358259  .00000275  00000-0  23269-4 0  9998;2 56351  97.6058  30.5686 0001899  86.8553 273.2891 15.05648358151999
STARLINK-5093;3.7;17:35:04;10;SSE;17:39:06;87;ENE;17:43:10;10;NNW;56332;1 56332U 23058R   26027.47296582 -.00000601  00000-0 -42221-4 0  9991;2 56332  97.6036  29.8151 0003655  50.4540 309.7007 15.01267556151949
STARLINK-35359;4.5;17:35:48;10;ENE;17:37:53;14;NNE;17:39:57;10;N;65670;1 65670U 25211U   26027.47101440  .00011019  00000-0  76655-3 0  9997;2 65670  97.6047  73.4937 0000705 352.1506   7.9710 15.05656135 20841
Cosmos 1110 Rocket;4.5;17:36:04;10;S;17:41:00;46;ESE;17:45:54;10;NE;11427;1 11427U 79060B   26027.32014056  .00000494  00000-0  16902-3 0  9993;2 11427  74.0179 348.6502 0018209  95.8794 264.4437 14.38814032439779
STARLINK-5065;4.0;17:36:07;10;W;17:40:19;58;N;17:44:31;10;ENE;55641;1 55641U 23021P   26027.46964014  .00001224  00000-0  11035-3 0  9992;2 55641  70.0000 288.5202 0002628 269.5012  90.5846 14.98331071162615
STARLINK-34982;4.4;17:37:33;10;ENE;17:39:45;15;NNE;17:41:58;10;N;65243;1 65243U 25179J   26027.53888158  .00011297  00000-0  78575-3 0  9992;2 65243  97.6031  72.3570 0001741 156.7897 203.3408 15.05656089 25785
STARLINK-5462;3.8;17:37:54;10;WNW;17:42:07;63;NNE;17:46:21;10;E;55674;1 55674U 23021AY  26027.66967079  .00009310  00000-0  78672-3 0  9998;2 55674  70.0017 267.7395 0005196 283.9718  76.0863 14.98336846163149
STARLINK-32552;3.8;17:38:06;10;WNW;17:42:20;63;NNE;17:46:33;10;E;62174;1 62174U 24225M   26027.66985432  .00014565  00000-0  12274-2 0  9994;2 62174  69.9997 267.7614 0002747 265.4753  94.6092 14.98282505 63739
Cosmos 1733 Rocket;3.2;17:38:24;10;NNW;17:42:42;51;ENE;17:46:56;10;SE;16612;1 16612U 86018B   26027.53147578  .00000850  00000-0  92873-4 0  9992;2 16612  82.5133 221.6830 0016343 194.2358 165.8401 14.86623735 37236
STARLINK-5540;3.6;17:38:33;10;SSE;17:42:32;87;ENE;17:46:32;10;NNW;56340;1 56340U 23058Z   26027.47635063  .00000502  00000-0  38983-4 0  9999;2 56340  97.6057  30.5633 0001809  93.2575 266.8859 15.05649292151995
STARLINK-5819;4.1;17:39:09;10;SW;17:43:18;57;SE;17:47:28;10;ENE;55780;1 55780U 23028AR  26027.14045374  .00001128  00000-0  10235-3 0  9991;2 55780  70.0015 329.0480 0002974 265.1084  94.9736 14.98329856160318
STARLINK-6043;3.9;17:39:28;10;WNW;17:43:43;82;SW;17:47:58;10;SE;56464;1 56464U 23064S   26027.60267969 -.00000006  00000-0  73139-5 0  9997;2 56464  69.9995 247.9679 0002497 271.1317  88.9556 14.98341326149097
