SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
SL-16 R/B;4.3;00:11:30;25;NNE;00:12:29;26;N;00:17:22;10;NW;27006;1 27006U 01056F   26027.45127002  .00000012  00000-0  65714-4 0  9995;2 27006  99.7604 192.6707 0015261  93.1688 326.6594 13.71089819207544
ACS3 Solar Sail;3.9;01:51:08;10;NNE;01:53:49;18;NE;01:53:49;18;NE;59588;1 59588U 24077B   26027.42922137  .00023532  00000-0  19605-1 0  9999;2 59588  97.2307 337.8136 0048424 212.6904 147.1260 13.87832752 88476
SL-16 R/B;4.1;01:56:34;30;N;01:56:34;30;N;02:00:18;10;NNW;27006;1 27006U 01056F   26027.45127002  .00000012  00000-0  65714-4 0  9995;2 27006  99.7604 192.6707 0015261  93.1688 326.6594 13.71089819207544
Cosmos 2227 Rocket;4.4;02:52:51;20;NE;02:52:51;20;NE;02:54:32;10;ENE;22285;1 22285U 92093B   26027.60939817 -.00000055  00000-0 -37178-5 0  9995;2 22285  71.0218  90.5081 0004662 337.6636  22.4284 14.15443674707347
Cosmos 2263 Rocket;4.3;02:54:13;21;NE;02:54:13;21;NE;02:56:00;10;NE;22803;1 22803U 93059B   26027.61028076 -.00000134  00000-0 -42458-4 0  9995;2 22803  70.9902  97.7593 0019583 272.4649  87.4233 14.17223388673714
Resurs 1-4 Rocket;4.3;03:07:44;10;NNE;03:10:08;21;NE;03:10:08;21;NE;25400;1 25400U 98043G   26027.47537751  .00000153  00000-0  82872-4 0  9991;2 25400  98.8188 340.5646 0010618 129.9474 230.2640 14.26039184433112
CZ-2D R/B;4.0;03:19:42;10;NNE;03:22:48;26;ENE;03:22:48;26;ENE;37932;1 37932U 11068C   26027.50609587  .00000314  00000-0  15879-3 0  9998;2 37932  98.8719 341.8019 0035792 305.4188 165.3396 14.22972986736479
ADEOS Rocket;4.3;03:21:22;10;NNE;03:26:37;34;ENE;03:26:37;34;ENE;24279;1 24279U 96046C   26027.61036880  .00000030  00000-0  82508-4 0  9998;2 24279  98.7427 342.9471 0299193 182.4808 351.1938 13.47464635447634
ACS3 Solar Sail;2.9;03:33:34;10;NNE;03:37:39;39;NE;03:37:39;39;NE;59588;1 59588U 24077B   26027.42922137  .00023532  00000-0  19605-1 0  9999;2 59588  97.2307 337.8136 0048424 212.6904 147.1260 13.87832752 88476
Cosmos 2297 Rocket;3.9;03:38:54;29;ENE;03:38:54;29;ENE;03:41:43;10;ENE;23405;1 23405U 94077B   26027.56981136 -.00000171  00000-0 -62682-4 0  9996;2 23405  70.9825  79.0000 0004781 249.1559 110.9052 14.15558539610414
SL-16 R/B;4.2;03:41:38;24;NNW;03:41:38;24;NNW;03:43:54;10;NNW;27006;1 27006U 01056F   26027.45127002  .00000012  00000-0  65714-4 0  9995;2 27006  99.7604 192.6707 0015261  93.1688 326.6594 13.71089819207544
