SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
SL-16 R/B;4.5;00:21:29;10;NW;00:23:02;18;WNW;00:23:02;18;WNW;28353;1 28353U 04021B   26027.79720080 -.00000206  00000-0 -82680-4 0  9996;2 28353  71.0023 318.3105 0002642 112.6561 247.4841 14.14591075117054
SL-16 R/B;4.2;00:42:27;27;NNE;00:42:45;27;NNE;00:47:46;10;NW;27006;1 27006U 01056F   26027.73329392  .00000012  00000-0  64752-4 0  9993;2 27006  99.7604 192.9572 0015267  92.4959 278.6567 13.71089839207588
ACS3 Solar Sail;3.8;02:04:19;10;NNE;02:07:17;20;NE;02:07:17;20;NE;59588;1 59588U 24077B   26027.86178924  .00025583  00000-0  21297-1 0  9992;2 59588  97.2300 338.1490 0048160 211.1064 148.7246 13.87863341 88530
SL-16 R/B;4.1;02:27:31;30;N;02:27:31;30;N;02:30:57;10;NNW;27006;1 27006U 01056F   26027.73329392  .00000012  00000-0  64752-4 0  9993;2 27006  99.7604 192.9572 0015267  92.4959 278.6567 13.71089839207588
Cosmos 2263 Rocket;4.5;02:37:21;19;NE;02:37:21;19;NE;02:38:49;10;NE;22803;1 22803U 93059B   26027.61028075 -.00000134  00000-0 -42458-4 0  9994;2 22803  70.9902  97.7593 0019583 272.4649  87.4233 14.17223388673714
Cosmos 2227 Rocket;4.5;02:37:46;18;ENE;02:37:46;18;ENE;02:39:11;10;ENE;22285;1 22285U 92093B   26027.60939817 -.00000055  00000-0 -37178-5 0  9995;2 22285  71.0218  90.5081 0004662 337.6636  22.4284 14.15443674707347
Resurs 1-4 Rocket;4.5;02:42:44;10;NE;02:44:43;17;NE;02:44:43;17;NE;25400;1 25400U 98043G   26027.82619745  .00000142  00000-0  78504-4 0  9999;2 25400  98.8188 340.9176 0010638 129.0152 231.1976 14.26039264433166
CZ-2D R/B;4.3;02:57:38;10;NNE;03:00:26;21;ENE;03:00:26;21;ENE;37932;1 37932U 11068C   26027.76891253  .00000304  00000-0  15450-3 0  9993;2 37932  98.8720 342.0666 0035791 304.6296  71.7037 14.22973143736515
ADEOS II;4.2;03:16:13;10;NNE;03:18:59;21;ENE;03:18:59;21;ENE;27597;1 27597U 02056A   26027.78045031  .00000592  00000-0  25074-3 0  9995;2 27597  98.7700 345.9948 0002020 100.5485 259.5924 14.29250932204450
Cosmos 2297 Rocket;4.0;03:23:47;26;ENE;03:23:47;26;ENE;03:26:14;10;ENE;23405;1 23405U 94077B   26027.56981135 -.00000171  00000-0 -62682-4 0  9995;2 23405  70.9825  79.0000 0004781 249.1559 110.9052 14.15558539610414
